Nets=['Deep_sig.21', 'Deep_sig.22', 'Deep_sig.23', 'Deep_sig.24']	GPUid=5
N=20	gauge=True	increment=0.01	amount=201	epochs=1	init_p=1000.0	rate=1.0
V=1.560	U=0.000	H=-0.82988316	P=0.00001185	D=0.00022046	CDW=0.42582691	BDW=0.00849062	Next_init_amount=1
V=1.550	U=0.000	H=-0.83208060	P=0.00001097	D=0.00023794	CDW=0.42253685	BDW=0.00874403	Next_init_amount=1
V=1.540	U=0.000	H=-0.83475375	P=0.00001119	D=0.00024833	CDW=0.41859615	BDW=0.01072267	Next_init_amount=1
V=1.530	U=0.000	H=-0.83738744	P=0.00001130	D=0.00024741	CDW=0.41575232	BDW=0.01197782	Next_init_amount=1
V=1.520	U=0.000	H=-0.83983558	P=0.00001018	D=0.00023985	CDW=0.41452739	BDW=0.01229101	Next_init_amount=1
V=1.510	U=0.000	H=-0.84239054	P=0.00001022	D=0.00022530	CDW=0.41174227	BDW=0.01265842	Next_init_amount=1
V=1.500	U=0.000	H=-0.84467846	P=0.00001059	D=0.00022375	CDW=0.40903676	BDW=0.01292977	Next_init_amount=1
V=1.490	U=0.000	H=-0.84749264	P=0.00001057	D=0.00024234	CDW=0.40777335	BDW=0.01292855	Next_init_amount=1
V=1.480	U=0.000	H=-0.84951448	P=0.00001051	D=0.00026672	CDW=0.40346569	BDW=0.01266283	Next_init_amount=1
V=1.470	U=0.000	H=-0.85247445	P=0.00001044	D=0.00031344	CDW=0.39521930	BDW=0.01411209	Next_init_amount=1
V=1.460	U=0.000	H=-0.85561723	P=0.00000857	D=0.00045560	CDW=0.38553852	BDW=0.01483312	Next_init_amount=1
V=1.450	U=0.000	H=-0.85813087	P=0.00000768	D=0.00057385	CDW=0.36952648	BDW=0.01932263	Next_init_amount=1
V=1.440	U=0.000	H=-0.86101508	P=0.00000688	D=0.00062964	CDW=0.36356193	BDW=0.01862907	Next_init_amount=1
V=1.430	U=0.000	H=-0.86404067	P=0.00000679	D=0.00076004	CDW=0.35268098	BDW=0.01869160	Next_init_amount=1
V=1.420	U=0.000	H=-0.86654401	P=0.00000603	D=0.00073208	CDW=0.34410131	BDW=0.02026641	Next_init_amount=1
V=1.410	U=0.000	H=-0.86872560	P=0.00000616	D=0.00074873	CDW=0.33876172	BDW=0.02047136	Next_init_amount=1
V=1.400	U=0.000	H=-0.87184834	P=0.00000737	D=0.00076717	CDW=0.33719954	BDW=0.02050814	Next_init_amount=1
V=1.390	U=0.000	H=-0.87409163	P=0.00000627	D=0.00076021	CDW=0.33502188	BDW=0.02073669	Next_init_amount=1
V=1.380	U=0.000	H=-0.87700689	P=0.00000616	D=0.00080613	CDW=0.33288911	BDW=0.02124071	Next_init_amount=1
V=1.370	U=0.000	H=-0.88017797	P=0.00000624	D=0.00081718	CDW=0.32848379	BDW=0.02021003	Next_init_amount=1
V=1.360	U=0.000	H=-0.88251531	P=0.00000633	D=0.00082757	CDW=0.32429546	BDW=0.01923984	Next_init_amount=1
V=1.350	U=0.000	H=-0.88500655	P=0.00000631	D=0.00086711	CDW=0.32124171	BDW=0.01879382	Next_init_amount=1
V=1.340	U=0.000	H=-0.88728309	P=0.00000595	D=0.00083980	CDW=0.31845358	BDW=0.01814950	Next_init_amount=1
V=1.330	U=0.000	H=-0.88992572	P=0.00000595	D=0.00082960	CDW=0.31551859	BDW=0.01751971	Next_init_amount=1
V=1.320	U=0.000	H=-0.89270502	P=0.00000581	D=0.00084914	CDW=0.31212571	BDW=0.01743740	Next_init_amount=1
V=1.310	U=0.000	H=-0.89515913	P=0.00000611	D=0.00090695	CDW=0.30926231	BDW=0.01807427	Next_init_amount=1
V=1.300	U=0.000	H=-0.89781499	P=0.00000591	D=0.00092798	CDW=0.30748844	BDW=0.01855236	Next_init_amount=1
V=1.290	U=0.000	H=-0.90017164	P=0.00000636	D=0.00091631	CDW=0.30667192	BDW=0.01833934	Next_init_amount=1
V=1.280	U=0.000	H=-0.90321815	P=0.00000578	D=0.00097668	CDW=0.30726263	BDW=0.01794916	Next_init_amount=1
V=1.270	U=0.000	H=-0.90540636	P=0.00000566	D=0.00095935	CDW=0.30705586	BDW=0.01782414	Next_init_amount=1
V=1.260	U=0.000	H=-0.90827149	P=0.00000583	D=0.00102459	CDW=0.30580145	BDW=0.01857057	Next_init_amount=1
V=1.250	U=0.000	H=-0.91075748	P=0.00000560	D=0.00105663	CDW=0.30522650	BDW=0.01899803	Next_init_amount=1
V=1.240	U=0.000	H=-0.91310513	P=0.00000588	D=0.00104057	CDW=0.30454636	BDW=0.01907107	Next_init_amount=1
V=1.230	U=0.000	H=-0.91618884	P=0.00000582	D=0.00107123	CDW=0.30413374	BDW=0.01924086	Next_init_amount=1
V=1.220	U=0.000	H=-0.91897559	P=0.00000582	D=0.00104846	CDW=0.30431554	BDW=0.01922891	Next_init_amount=1
