Nets=['Deep_sig.21', 'Deep_sig.23', 'Deep_sig.24']	GPUid=4
N=20	gauge=True	increment=0.01	amount=151	epochs=1	init_p=1000.0	rate=1.0
V=0.920	U=-100.000	H=-0.50040519	P=0.00000348	D=0.00163354	CDW=-0.09409690	BDW=0.01653445	Next_init_amount=1
V=0.930	U=-100.000	H=-0.49668282	P=0.00000336	D=0.00164329	CDW=-0.09390079	BDW=0.01638685	Next_init_amount=1
V=0.940	U=-100.000	H=-0.49297485	P=0.00000336	D=0.00161862	CDW=-0.09281711	BDW=0.01565781	Next_init_amount=1
V=0.950	U=-100.000	H=-0.48917922	P=0.00000367	D=0.00159273	CDW=-0.09279390	BDW=0.01610494	Next_init_amount=1
V=0.960	U=-100.000	H=-0.48569971	P=0.00000348	D=0.00156586	CDW=-0.09342173	BDW=0.01640680	Next_init_amount=1
V=0.970	U=-100.000	H=-0.48204431	P=0.00000315	D=0.00177044	CDW=-0.09418788	BDW=0.01571326	Next_init_amount=1
V=0.980	U=-100.000	H=-0.47863284	P=0.00000316	D=0.00173198	CDW=-0.09474730	BDW=0.01654325	Next_init_amount=1
V=0.990	U=-100.000	H=-0.47520006	P=0.00000339	D=0.00174992	CDW=-0.09489345	BDW=0.01672886	Next_init_amount=1
V=1.000	U=-100.000	H=-0.47190794	P=0.00000361	D=0.00176029	CDW=-0.09516887	BDW=0.01636353	Next_init_amount=1
V=1.010	U=-100.000	H=-0.46835625	P=0.00000342	D=0.00172830	CDW=-0.09522935	BDW=0.01634440	Next_init_amount=1
V=1.020	U=-100.000	H=-0.46482903	P=0.00000339	D=0.00171161	CDW=-0.09486552	BDW=0.01612307	Next_init_amount=1
V=1.030	U=-100.000	H=-0.46160236	P=0.00000376	D=0.00173731	CDW=-0.09437758	BDW=0.01580814	Next_init_amount=1
V=1.040	U=-100.000	H=-0.45822200	P=0.00000314	D=0.00172351	CDW=-0.09351600	BDW=0.01556554	Next_init_amount=1
V=1.050	U=-100.000	H=-0.45482689	P=0.00000353	D=0.00173157	CDW=-0.09385747	BDW=0.01531841	Next_init_amount=1
V=1.060	U=-100.000	H=-0.45147091	P=0.00000350	D=0.00174773	CDW=-0.09426545	BDW=0.01461098	Next_init_amount=1
